Application,Supports,No.of.Users,Software Owner,IT Owner,Application Business Domain,Existing Sub Domain,Application Type,Locations,Regional
CRM Plus,"Sales Operations, Marketing, Customer Service",2500,Salesforce,John Smith,Customer Management,Sales & Marketing,Commercial Off-The-Shelf,"New York, London, Singapore",Global
HR Portal,Human Resources,1200,Internal,Sarah Johnson,Employee Management,HR Operations,Custom Developed,"Mumbai, Bangkok, Singapore",APAC
Finance Pro,"Finance, Accounting, Treasury",800,Oracle,Michael Chen,Financial Management,Accounting,Commercial Off-The-Shelf,Worldwide,Global
Supply Chain Manager,"Operations, Logistics, Procurement",1500,Internal,David Wilson,Supply Chain,Logistics,Custom Developed,"London, Paris, Frankfurt, Madrid",EMEA
Marketing Analytics,Marketing,350,Adobe,Emily Brown,Customer Management,Digital Marketing,SaaS,Worldwide,Global
Inventory Control System,"Warehouse, Operations",600,Internal,Robert Lee,Supply Chain,Inventory Management,Custom Developed,"Tokyo, Seoul, Sydney",APAC
Employee Training Platform,"Learning & Development, HR",5000,Cornerstone,Lisa Anderson,Employee Management,Training,SaaS,Worldwide,Global
Procurement Portal,Purchasing,250,Internal,James Wong,Supply Chain,Procurement,Custom Developed,"Dubai, Riyadh, Istanbul",EMEA
Customer Support Hub,"Customer Service, Sales Operations",1800,Zendesk,Maria Garcia,Customer Management,Support Operations,Commercial Off-The-Shelf,Worldwide,Global
Project Management Suite,"PMO, All Departments",3000,Atlassian,Tom Baker,Project Management,Portfolio Management,SaaS,Worldwide,Global
Asset Management System,"Facilities, Operations, Maintenance",400,Internal,Chris Taylor,Asset Management,Maintenance,Custom Developed,"Singapore, Hong Kong, Jakarta",APAC
Business Intelligence Dashboard,"Analytics, Finance, Sales",2000,Tableau,Jennifer Park,Business Intelligence,Reporting,SaaS,Worldwide,Global
Document Management System,All Departments,7500,Microsoft,Kevin O'Brien,Content Management,Document Storage,Commercial Off-The-Shelf,Worldwide,Global
Compliance Tracker,"Legal, Finance, Risk Management",900,Internal,Amanda Wu,Risk Management,Compliance,Custom Developed,"Amsterdam, Brussels, Copenhagen",EMEA
Time & Attendance System,"Human Resources, All Departments",6000,Workday,Ryan Martinez,Employee Management,Time Management,SaaS,Worldwide,Global
Legacy ERP System,"FINANCE, ACCOUNTING",TBD,SAP,TBD,Financial Management,ERP,Commercial Off-The-Shelf,EMEA/APAC,Global
Mobile App Platform,"Development, IT OPS",450,,Jason Phillips,Application Development,Mobile Development,Custom Developed,"India, Singapore",APAC/EMEA
Security Scanner,IT SECURITY,900,Internal,Robert Wong,Security,Infrastructure,Commercial Off-The-Shelf,"France, Germany, Sweden, Taiwan",EMEA
Data Warehouse,"BI, Analytics, REPORTING",2300,Snowflake,,Data Management,Analytics,SaaS,"EMEA, North America",Global/EMEA
IoT Platform,"Operations, Manufacturing",TBD,Azure,Maria Santos,IoT,Manufacturing,SaaS,Japan/Korea/Taiwan,APAC
Network Monitor,IT INFRASTRUCTURE,750,Internal,TBD,Infrastructure,Network,Custom Developed,EMEA,EMEA/APAC
Cloud Management Portal,"Cloud Ops, DEVOPS",1200,AWS,,Cloud Management,Infrastructure,SaaS,worldwide,Global
